Data,Cliques,Impressões,CTR,Posição
2026-07-29,0,66,0%,83.3
2026-07-30,1,87,1.15%,70.9
2026-07-31,1,118,0.85%,71.2
2026-08-01,1,94,1.06%,62.4
2026-08-02,1,96,1.04%,71.6
